Estacion,Parameter,contaminante,HrAveData,concentracion,Date,Calidad,Riesgo,Lat,Lon,Municipio,url_reporte
centro,PM25Nc,PM25,20,6,2025-11-28 10:00,Buena,Bajo,25.6760139,-100.338553,Monterrey,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=CENTRO
este,O3Nc,O3,19,21,2025-11-28 10:00,Buena,Bajo,25.7905833,-100.078411,Pesqueria,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=PESQUERIA
noreste,PM25Nc,PM25,47,14,2025-11-28 10:00,Buena,Bajo,25.74503,-100.25317,San Nicolás,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=NORESTE
noreste2,PM10Nc,PM10,18,16,2025-11-28 10:00,Buena,Bajo,25.777475,-100.1882,Apodaca,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=NORESTE2
noroeste,NO2Nc,NO2,19,42,2025-11-28 10:00,Buena,Bajo,25.7629306,-100.369578,Monterrey,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=NOROESTE
noroeste2,O3Nc,O3,21,23,2025-11-28 10:00,Buena,Bajo,25.8004639,-100.585011,García,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=GARCIA
noroeste3,O3Nc,O3,16,17,2025-11-28 10:00,Buena,Bajo,25.785,-100.46361112,García,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=NOROESTE3
norte,PM10Nc,PM10,19,17,2025-11-28 10:00,Buena,Bajo,25.7988361,-100.327164,Escobedo,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=NORTE
norte2,PM25Nc,PM25,23,7,2025-11-28 10:00,Buena,Bajo,25.7297587,-100.310019,San Nicolás,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=NORTE2
sur,O3Nc,O3,18,20,2025-11-28 10:00,Buena,Bajo,25.6169806,-100.273936,Monterrey,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=SUR
sureste,PM25Nc,PM25,20,6,2025-11-28 10:00,Buena,Bajo,25.6654972,-100.243653,Guadalupe,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=SURESTE
sureste2,PM25Nc,PM25,23,7,2025-11-28 10:00,Buena,Bajo,25.646126,-100.095616,Juárez,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=SURESTE2
sureste3,PM25Nc,PM25,20,6,2025-11-28 10:00,Buena,Bajo,25.6008639,-99.9953028,Cadereyta,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=SURESTE3
suroeste,PM25Nc,PM25,33,10,2025-11-28 10:00,Buena,Bajo,25.6794444,-100.467831,Santa Catarina,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=SUROESTE
suroeste2,PM25Nc,PM25,37,11,2025-11-28 10:00,Buena,Bajo,25.665275,-100.412853,San Pedro,https://aire.nl.gob.mx/SIMA2017reportes/ReporteDiariosimaIcars.php?estacion1=[SAN Pedro]
