Estacion,Date,CO8m,NO2m,O3m,PM10_12,PM25_12,SO2_1,estatus
centro,2025-11-17 17:00:00,,8.0,89.0,43.0,,5.0,incompleto
centro,2025-11-17 20:00:00,,11.0,51.0,31.0,,4.0,incompleto
centro,2025-11-18 10:00:00,,24.0,17.0,45.0,,5.0,incompleto
centro,2025-11-18 16:00:00,0.31,22.0,80.0,61.0,,9.0,incompleto
centro,2025-11-18 17:00:00,0.336,22.0,99.0,55.0,,6.0,incompleto
centro,2025-11-18 20:00:00,,12.0,63.0,48.0,14.0,3.0,incompleto
centro,2025-11-19 10:00:00,,24.0,7.0,40.0,16.0,4.0,incompleto
centro,2025-11-19 13:00:00,,27.0,25.0,54.0,19.0,6.0,incompleto
centro,2025-11-19 14:00:00,0.312,24.0,44.0,55.0,19.0,6.0,completo
centro,2025-11-19 20:00:00,0.14,11.0,26.0,34.0,13.0,3.0,completo
centro,2025-11-20 13:00:00,,13.0,34.0,30.0,11.0,3.0,incompleto
este,2025-11-17 17:00:00,,3.0,45.0,24.0,11.0,7.0,incompleto
este,2025-11-17 20:00:00,,5.0,29.0,21.0,12.0,5.0,incompleto
este,2025-11-18 10:00:00,,8.0,20.0,24.0,19.0,5.0,incompleto
este,2025-11-18 16:00:00,,8.0,80.0,46.0,26.0,25.0,incompleto
este,2025-11-18 17:00:00,,6.0,68.0,54.0,25.0,23.0,incompleto
este,2025-11-18 20:00:00,,21.0,11.0,48.0,23.0,5.0,incompleto
este,2025-11-19 10:00:00,,5.0,20.0,38.0,26.0,5.0,incompleto
este,2025-11-19 13:00:00,,4.0,36.0,38.0,26.0,14.0,incompleto
este,2025-11-19 14:00:00,,4.0,36.0,46.0,27.0,12.0,incompleto
este,2025-11-19 20:00:00,,23.0,9.0,63.0,29.0,6.0,incompleto
este,2025-11-20 13:00:00,,3.0,33.0,25.0,19.0,9.0,incompleto
noreste,2025-11-17 17:00:00,1.574,14.0,75.0,,,12.0,incompleto
noreste,2025-11-17 20:00:00,1.555,15.0,30.0,,,4.0,incompleto
